number,value,datetime_start,datetime_complete,duration,params_aggregation,params_depth,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
29,0.19637664967796,2026-02-03 01:32:13.241292,2026-02-03 01:32:42.849354,0 days 00:00:29.608062,attention,1,0.27783592065376667,128,0.003770425338750446,0.0005827633547487326,"{'val_rmse_mean': 0.6794784069061279, 'val_mae_mean': 0.47173675894737244, 'val_r2_mean': 0.3419533371925354, 'val_rmse_target_0': 0.6794784069061279, 'val_mae_target_0': 0.47173675894737244, 'val_r2_target_0': 0.3419533371925354}",COMPLETE
30,0.2212362323178375,2026-02-03 01:32:42.970069,2026-02-03 01:33:14.816499,0 days 00:00:31.846430,attention,1,0.2827101653584741,64,0.003995553913499168,0.0005367112726829374,"{'val_rmse_mean': 0.6955696940422058, 'val_mae_mean': 0.5275703072547913, 'val_r2_mean': 0.3162466287612915, 'val_rmse_target_0': 0.6955696940422058, 'val_mae_target_0': 0.5275703072547913, 'val_r2_target_0': 0.3162466287612915}",COMPLETE
31,0.2399848527194182,2026-02-03 01:33:14.938277,2026-02-03 01:33:42.597665,0 days 00:00:27.659388,attention,1,0.3168100874762721,128,0.003443207972004893,0.00015403489805913137,"{'val_rmse_mean': 0.7545565962791443, 'val_mae_mean': 0.5418664216995239, 'val_r2_mean': 0.12918239831924438, 'val_rmse_target_0': 0.7545565962791443, 'val_mae_target_0': 0.5418664216995239, 'val_r2_target_0': 0.12918239831924438}",COMPLETE
32,0.2203469007939997,2026-02-03 01:33:42.719731,2026-02-03 01:34:13.968455,0 days 00:00:31.248724,attention,1,0.17499988014829335,128,0.004824327403723475,0.001686807735872616,"{'val_rmse_mean': 0.7095555067062378, 'val_mae_mean': 0.5218315720558167, 'val_r2_mean': 0.16552430391311646, 'val_rmse_target_0': 0.7095555067062378, 'val_mae_target_0': 0.5218315720558167, 'val_r2_target_0': 0.16552430391311646}",COMPLETE
33,0.25561915448849537,2026-02-03 01:34:14.088674,2026-02-03 01:34:45.090060,0 days 00:00:31.001386,attention,1,0.21440260665234595,128,0.001887071298560693,0.0005730133071956085,"{'val_rmse_mean': 0.7902538180351257, 'val_mae_mean': 0.5708364844322205, 'val_r2_mean': 0.11812496185302734, 'val_rmse_target_0': 0.7902538180351257, 'val_mae_target_0': 0.5708364844322205, 'val_r2_target_0': 0.11812496185302734}",COMPLETE
34,0.2354943657237864,2026-02-03 01:34:45.211469,2026-02-03 01:35:12.967838,0 days 00:00:27.756369,attention,1,0.2728303562954264,128,0.0028083104411984385,0.00023409336149489597,"{'val_rmse_mean': 0.7633980512619019, 'val_mae_mean': 0.5253564119338989, 'val_r2_mean': 0.18020308017730713, 'val_rmse_target_0': 0.7633980512619019, 'val_mae_target_0': 0.5253564119338989, 'val_r2_target_0': 0.18020308017730713}",COMPLETE
35,0.22589491128369613,2026-02-03 01:35:13.089804,2026-02-03 01:35:42.137727,0 days 00:00:29.047923,mean,1,0.16446061093480194,128,0.0037213549788639713,0.002751707744110176,"{'val_rmse_mean': 0.7118478417396545, 'val_mae_mean': 0.5473824143409729, 'val_r2_mean': 0.21481460332870483, 'val_rmse_target_0': 0.7118478417396545, 'val_mae_target_0': 0.5473824143409729, 'val_r2_target_0': 0.21481460332870483}",COMPLETE
36,0.3103148444055545,2026-02-03 01:35:42.258669,2026-02-03 01:36:14.198936,0 days 00:00:31.940267,attention,1,0.10331821206135128,64,0.0002204297428047944,0.00010956545165073143,"{'val_rmse_mean': 0.8251935243606567, 'val_mae_mean': 0.6750396490097046, 'val_r2_mean': -1.8130536079406738, 'val_rmse_target_0': 0.8251935243606567, 'val_mae_target_0': 0.6750396490097046, 'val_r2_target_0': -1.8130536079406738}",COMPLETE
37,0.22964637662301324,2026-02-03 01:36:14.321052,2026-02-03 01:36:43.396520,0 days 00:00:29.075468,mean,2,0.3781879393911882,128,0.0006041042342180533,0.00042831919378218087,"{'val_rmse_mean': 0.7144900560379028, 'val_mae_mean': 0.5444706082344055, 'val_r2_mean': 0.1748986840248108, 'val_rmse_target_0': 0.7144900560379028, 'val_mae_target_0': 0.5444706082344055, 'val_r2_target_0': 0.1748986840248108}",COMPLETE
38,0.26354547397716455,2026-02-03 01:36:43.517417,2026-02-03 01:37:12.273805,0 days 00:00:28.756388,attention,2,0.31286680124017086,64,0.002639172301686497,0.0010550577064014706,"{'val_rmse_mean': 0.8017610311508179, 'val_mae_mean': 0.5812731981277466, 'val_r2_mean': -0.10416638851165771, 'val_rmse_target_0': 0.8017610311508179, 'val_mae_target_0': 0.5812731981277466, 'val_r2_target_0': -0.10416638851165771}",COMPLETE
