Folder,Model Class,Target,Config Type,Augmentation Ratio,RMSE,R2,Baseline RMSE
20260131_075508_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Single Leg Stance,Reduced (4 Targets),5,1.060481071472168,0.1587187647819519,1.1570205688476562
20260131_075508_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Hand Grip Right,Reduced (4 Targets),5,0.8206159472465515,0.4014055132865906,1.060654640197754
20260131_075508_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Throwing Beanbag at Target,Reduced (4 Targets),5,1.0938200950622559,-0.00421595573425293,1.091681957244873
20260131_090217_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Balance Test,Reduced (4 Targets),5,1.2141298055648804,0.03205925226211548,1.2348343133926392
20260131_090217_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Single Leg Stance,Reduced (4 Targets),5,1.0868864059448242,0.11630254983901978,1.1570205688476562
20260131_090217_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Hand Grip Right,Reduced (4 Targets),5,0.7885125875473022,0.4473247528076172,1.060654640197754
20260131_090217_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Throwing Beanbag at Target,Reduced (4 Targets),5,1.07991361618042,0.02115631103515625,1.091681957244873
20260131_102713_ElasticNetModel,ElasticNetModel,Balance Test,Reduced (4 Targets),5,1.1234595775604248,0.17123103141784668,1.2348343133926392
20260131_102713_ElasticNetModel,ElasticNetModel,Single Leg Stance,Reduced (4 Targets),5,1.12814462184906,0.04793870449066162,1.1570205688476562
20260131_102713_ElasticNetModel,ElasticNetModel,Hand Grip Right,Reduced (4 Targets),5,1.02806556224823,0.06050509214401245,1.060654640197754
20260131_102713_ElasticNetModel,ElasticNetModel,Throwing Beanbag at Target,Reduced (4 Targets),5,1.1702005863189697,-0.14935970306396484,1.091681957244873
20260131_111613_LinearRegressionModel,LinearRegressionModel,Balance Test,Reduced (4 Targets),5,1.1647800207138062,0.10914617776870728,1.2348343133926392
20260131_111613_LinearRegressionModel,LinearRegressionModel,Single Leg Stance,Reduced (4 Targets),5,1.069878339767456,0.14374315738677979,1.1570205688476562
20260131_111613_LinearRegressionModel,LinearRegressionModel,Hand Grip Right,Reduced (4 Targets),5,1.0128494501113892,0.08810955286026001,1.060654640197754
20260131_111613_LinearRegressionModel,LinearRegressionModel,Throwing Beanbag at Target,Reduced (4 Targets),5,1.141804814338684,-0.09425616264343262,1.091681957244873
20260131_120550_RandomForestLikeMLP,RandomForestLikeMLP,Balance Test,Reduced (4 Targets),5,1.222901701927185,0.018022239208221436,1.2348343133926392
20260131_120550_RandomForestLikeMLP,RandomForestLikeMLP,Single Leg Stance,Reduced (4 Targets),5,1.118584156036377,0.06400668621063232,1.1570205688476562
20260131_120550_RandomForestLikeMLP,RandomForestLikeMLP,Hand Grip Right,Reduced (4 Targets),5,1.0321747064590454,0.05297976732254028,1.060654640197754
20260131_120550_RandomForestLikeMLP,RandomForestLikeMLP,Throwing Beanbag at Target,Reduced (4 Targets),5,1.1160995960235596,-0.04554116725921631,1.091681957244873
20260131_125829_SimpleMLPRegressor,SimpleMLPRegressor,Balance Test,Reduced (4 Targets),5,1.1575850248336792,0.12011826038360596,1.2348343133926392
20260131_125829_SimpleMLPRegressor,SimpleMLPRegressor,Single Leg Stance,Reduced (4 Targets),5,1.1053690910339355,0.08599197864532471,1.1570205688476562
20260131_125829_SimpleMLPRegressor,SimpleMLPRegressor,Hand Grip Right,Reduced (4 Targets),5,1.019573450088501,0.0759621262550354,1.060654640197754
20260131_125829_SimpleMLPRegressor,SimpleMLPRegressor,Throwing Beanbag at Target,Reduced (4 Targets),5,1.1201876401901245,-0.05321455001831055,1.091681957244873
