number,value,datetime_start,datetime_complete,duration,params_aggregation,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
27,0.3844194297713262,2026-01-31 06:37:44.157263,2026-01-31 06:38:19.249261,0 days 00:00:35.091998,mean,0.0018981213812460651,64,0.000253421288349518,0.0005181435130730295,"{'val_rmse_mean': 1.001301646232605, 'val_mae_mean': 0.7389252781867981, 'val_r2_mean': -21.80413818359375, 'val_rmse_target_0': 0.9784917235374451, 'val_mae_target_0': 0.6414742469787598, 'val_r2_target_0': -14.65349006652832, 'val_rmse_target_1': 1.019919991493225, 'val_mae_target_1': 0.7179325222969055, 'val_r2_target_1': -26.510761260986328, 'val_rmse_target_2': 0.9375453591346741, 'val_mae_target_2': 0.8375239372253418, 'val_r2_target_2': -13.347254753112793, 'val_rmse_target_3': 1.0692497491836548, 'val_mae_target_3': 0.7587704062461853, 'val_r2_target_3': -32.705039978027344}",COMPLETE
28,0.39769331993604146,2026-01-31 06:38:19.382027,2026-01-31 06:38:52.782060,0 days 00:00:33.400033,mean,0.054830094490129724,128,0.0003231977434384293,7.071469375675911e-05,"{'val_rmse_mean': 1.0079421997070312, 'val_mae_mean': 0.7504736185073853, 'val_r2_mean': -6.207333564758301, 'val_rmse_target_0': 0.9518392086029053, 'val_mae_target_0': 0.605208158493042, 'val_r2_target_0': -4.260847091674805, 'val_rmse_target_1': 1.064715027809143, 'val_mae_target_1': 0.7516852021217346, 'val_r2_target_1': -5.130403995513916, 'val_rmse_target_2': 0.9280651807785034, 'val_mae_target_2': 0.8250628709793091, 'val_r2_target_2': -3.555434226989746, 'val_rmse_target_3': 1.0871490240097046, 'val_mae_target_3': 0.8199382424354553, 'val_r2_target_3': -11.882647514343262}",COMPLETE
29,0.4025513368348281,2026-01-31 06:38:52.914579,2026-01-31 06:39:26.199371,0 days 00:00:33.284792,mean,0.1336757113825203,32,0.00068491681488847,0.0013964980873045004,"{'val_rmse_mean': 1.0042812824249268, 'val_mae_mean': 0.7480206489562988, 'val_r2_mean': -4.807842254638672, 'val_rmse_target_0': 1.0041351318359375, 'val_mae_target_0': 0.6387806534767151, 'val_r2_target_0': -3.9663519859313965, 'val_rmse_target_1': 1.0571516752243042, 'val_mae_target_1': 0.7446222901344299, 'val_r2_target_1': -4.992575645446777, 'val_rmse_target_2': 0.9195146560668945, 'val_mae_target_2': 0.8137931823730469, 'val_r2_target_2': -3.086841583251953, 'val_rmse_target_3': 1.0363235473632812, 'val_mae_target_3': 0.7948865294456482, 'val_r2_target_3': -7.185601234436035}",COMPLETE
30,0.40348219016083964,2026-01-31 06:39:26.332963,2026-01-31 06:40:01.566077,0 days 00:00:35.233114,mean,0.03672482652499193,32,0.0004590788188785609,3.0503144293384772e-05,"{'val_rmse_mean': 1.006117820739746, 'val_mae_mean': 0.7575422525405884, 'val_r2_mean': -8.829963684082031, 'val_rmse_target_0': 0.9523465037345886, 'val_mae_target_0': 0.6510354280471802, 'val_r2_target_0': -7.066290855407715, 'val_rmse_target_1': 1.039429783821106, 'val_mae_target_1': 0.7436161637306213, 'val_r2_target_1': -9.162261962890625, 'val_rmse_target_2': 0.9221580028533936, 'val_mae_target_2': 0.8065587282180786, 'val_r2_target_2': -7.12420654296875, 'val_rmse_target_3': 1.110537052154541, 'val_mae_target_3': 0.8289584517478943, 'val_r2_target_3': -11.967093467712402}",COMPLETE
31,0.3868967389894856,2026-01-31 06:40:01.699544,2026-01-31 06:40:34.905535,0 days 00:00:33.205991,mean,0.17024523715160145,64,0.0001654548537738041,0.00021528200645952304,"{'val_rmse_mean': 0.9962083697319031, 'val_mae_mean': 0.7301279902458191, 'val_r2_mean': -40.82135772705078, 'val_rmse_target_0': 0.9889040589332581, 'val_mae_target_0': 0.6332831978797913, 'val_r2_target_0': -33.55372619628906, 'val_rmse_target_1': 0.9911190271377563, 'val_mae_target_1': 0.7316721677780151, 'val_r2_target_1': -44.77587127685547, 'val_rmse_target_2': 0.9652491211891174, 'val_mae_target_2': 0.8397101163864136, 'val_r2_target_2': -29.76432991027832, 'val_rmse_target_3': 1.0395612716674805, 'val_mae_target_3': 0.7158463001251221, 'val_r2_target_3': -55.19149398803711}",COMPLETE
32,0.3945693492337509,2026-01-31 06:40:35.037701,2026-01-31 06:41:06.820050,0 days 00:00:31.782349,mean,0.11810505209112777,64,0.00020954142648405523,0.00018852817040270614,"{'val_rmse_mean': 1.0120117664337158, 'val_mae_mean': 0.7367957234382629, 'val_r2_mean': -24.354278564453125, 'val_rmse_target_0': 0.9884098172187805, 'val_mae_target_0': 0.6226192712783813, 'val_r2_target_0': -17.47359848022461, 'val_rmse_target_1': 1.0199718475341797, 'val_mae_target_1': 0.7368878722190857, 'val_r2_target_1': -32.23830795288086, 'val_rmse_target_2': 0.9791061878204346, 'val_mae_target_2': 0.8670130968093872, 'val_r2_target_2': -11.067204475402832, 'val_rmse_target_3': 1.0605591535568237, 'val_mae_target_3': 0.7206628322601318, 'val_r2_target_3': -36.63800811767578}",COMPLETE
33,0.39563943694035214,2026-01-31 06:41:06.953376,2026-01-31 06:41:40.100524,0 days 00:00:33.147148,mean,0.0710386860724384,64,0.00012745822165040476,0.0007211341427938955,"{'val_rmse_mean': 1.0087270736694336, 'val_mae_mean': 0.7301477193832397, 'val_r2_mean': -48.760948181152344, 'val_rmse_target_0': 0.980378270149231, 'val_mae_target_0': 0.5972720980644226, 'val_r2_target_0': -28.554214477539062, 'val_rmse_target_1': 0.9865244626998901, 'val_mae_target_1': 0.7220590114593506, 'val_r2_target_1': -36.83249282836914, 'val_rmse_target_2': 1.0219788551330566, 'val_mae_target_2': 0.8821373581886292, 'val_r2_target_2': -57.25782012939453, 'val_rmse_target_3': 1.0460264682769775, 'val_mae_target_3': 0.7191222906112671, 'val_r2_target_3': -72.39927673339844}",COMPLETE
34,0.4079381270265138,2026-01-31 06:41:40.233617,2026-01-31 06:42:16.161640,0 days 00:00:35.928023,attention,0.05042494167318337,64,0.00025187963474033244,0.0002650711744951311,"{'val_rmse_mean': 1.0155658721923828, 'val_mae_mean': 0.7644894123077393, 'val_r2_mean': -13.955463409423828, 'val_rmse_target_0': 0.9655774831771851, 'val_mae_target_0': 0.6283039450645447, 'val_r2_target_0': -8.772128105163574, 'val_rmse_target_1': 1.014356017112732, 'val_mae_target_1': 0.7344315648078918, 'val_r2_target_1': -14.579535484313965, 'val_rmse_target_2': 0.9602499604225159, 'val_mae_target_2': 0.8681527376174927, 'val_r2_target_2': -13.37666130065918, 'val_rmse_target_3': 1.1220803260803223, 'val_mae_target_3': 0.8270691633224487, 'val_r2_target_3': -19.093523025512695}",COMPLETE
35,0.39234419187737835,2026-01-31 06:42:16.294366,2026-01-31 06:42:50.943180,0 days 00:00:34.648814,mean,0.09433991606298765,32,0.00012329007847948424,0.00014843411837325252,"{'val_rmse_mean': 1.0101932287216187, 'val_mae_mean': 0.735077977180481, 'val_r2_mean': -70.81747436523438, 'val_rmse_target_0': 0.9797286987304688, 'val_mae_target_0': 0.6315551400184631, 'val_r2_target_0': -82.99037170410156, 'val_rmse_target_1': 1.0400322675704956, 'val_mae_target_1': 0.7308882474899292, 'val_r2_target_1': -50.9425163269043, 'val_rmse_target_2': 0.9796167016029358, 'val_mae_target_2': 0.8422240018844604, 'val_r2_target_2': -85.5868148803711, 'val_rmse_target_3': 1.0413953065872192, 'val_mae_target_3': 0.7356442213058472, 'val_r2_target_3': -63.75017547607422}",COMPLETE
36,0.39091426961951786,2026-01-31 06:42:51.074972,2026-01-31 06:43:28.331077,0 days 00:00:37.256105,attention,0.1776125882871969,64,0.0003534429303766202,8.732445433941198e-05,"{'val_rmse_mean': 0.9894248247146606, 'val_mae_mean': 0.7387279272079468, 'val_r2_mean': -8.770832061767578, 'val_rmse_target_0': 0.9713909029960632, 'val_mae_target_0': 0.666208028793335, 'val_r2_target_0': -4.402637481689453, 'val_rmse_target_1': 1.0157612562179565, 'val_mae_target_1': 0.6980674266815186, 'val_r2_target_1': -8.483123779296875, 'val_rmse_target_2': 0.9166554808616638, 'val_mae_target_2': 0.8156325817108154, 'val_r2_target_2': -5.324053764343262, 'val_rmse_target_3': 1.053891658782959, 'val_mae_target_3': 0.7750037908554077, 'val_r2_target_3': -16.87351417541504}",COMPLETE
