number,value,datetime_start,datetime_complete,duration,params_aggregation,params_alpha,params_l1_ratio,params_lr,user_attrs_val_metrics,state
20,0.3805413749758844,2026-01-31 10:40:00.961034,2026-01-31 10:40:38.445432,0 days 00:00:37.484398,mean,0.0015791984140116509,0.19615115966482052,0.0001658693993190211,"{'val_rmse_mean': 0.9728374481201172, 'val_mae_mean': 0.7343928217887878, 'val_r2_mean': -15.241786003112793, 'val_rmse_target_0': 1.001448392868042, 'val_mae_target_0': 0.6880481243133545, 'val_r2_target_0': -7.228338241577148, 'val_rmse_target_1': 0.8926441073417664, 'val_mae_target_1': 0.6504920125007629, 'val_r2_target_1': -14.95763111114502, 'val_rmse_target_2': 0.9530956149101257, 'val_mae_target_2': 0.8372126817703247, 'val_r2_target_2': -18.180763244628906, 'val_rmse_target_3': 1.0441614389419556, 'val_mae_target_3': 0.7618185877799988, 'val_r2_target_3': -20.600412368774414}",COMPLETE
21,0.41271917404675923,2026-01-31 10:40:38.588921,2026-01-31 10:41:15.601003,0 days 00:00:37.012082,mean,0.0018095839708364115,0.1772911546796023,0.00019896818118723484,"{'val_rmse_mean': 1.0215967893600464, 'val_mae_mean': 0.7689225673675537, 'val_r2_mean': -17.018024444580078, 'val_rmse_target_0': 0.9526646137237549, 'val_mae_target_0': 0.6071324944496155, 'val_r2_target_0': -8.000560760498047, 'val_rmse_target_1': 1.0240893363952637, 'val_mae_target_1': 0.7499482035636902, 'val_r2_target_1': -24.611980438232422, 'val_rmse_target_2': 1.069308876991272, 'val_mae_target_2': 0.9546691179275513, 'val_r2_target_2': -19.808687210083008, 'val_rmse_target_3': 1.0403242111206055, 'val_mae_target_3': 0.7639402747154236, 'val_r2_target_3': -15.650873184204102}",COMPLETE
22,0.3727506917245962,2026-01-31 10:41:15.742754,2026-01-31 10:41:52.799120,0 days 00:00:37.056366,mean,0.00037206410923910254,0.27836627611491666,0.00016224939637454693,"{'val_rmse_mean': 0.9510107040405273, 'val_mae_mean': 0.7164289951324463, 'val_r2_mean': -17.007234573364258, 'val_rmse_target_0': 0.9265823364257812, 'val_mae_target_0': 0.6326994299888611, 'val_r2_target_0': -12.187270164489746, 'val_rmse_target_1': 0.9142582416534424, 'val_mae_target_1': 0.7050392627716064, 'val_r2_target_1': -18.451583862304688, 'val_rmse_target_2': 0.9768370985984802, 'val_mae_target_2': 0.8283020853996277, 'val_r2_target_2': -21.2254695892334, 'val_rmse_target_3': 0.9863651990890503, 'val_mae_target_3': 0.6996750235557556, 'val_r2_target_3': -16.16461753845215}",COMPLETE
23,0.3857505820967533,2026-01-31 10:41:52.940973,2026-01-31 10:42:29.535188,0 days 00:00:36.594215,mean,0.0004475002771370823,0.2960103245780014,0.0003247583025772876,"{'val_rmse_mean': 0.972328245639801, 'val_mae_mean': 0.7362403869628906, 'val_r2_mean': -11.37104606628418, 'val_rmse_target_0': 0.9497683644294739, 'val_mae_target_0': 0.6602069139480591, 'val_r2_target_0': -5.727739334106445, 'val_rmse_target_1': 0.910213828086853, 'val_mae_target_1': 0.6915943622589111, 'val_r2_target_1': -7.0901994705200195, 'val_rmse_target_2': 0.994407057762146, 'val_mae_target_2': 0.8666583299636841, 'val_r2_target_2': -10.901151657104492, 'val_rmse_target_3': 1.034923791885376, 'val_mae_target_3': 0.7265019416809082, 'val_r2_target_3': -21.765094757080078}",COMPLETE
24,0.43913054273084356,2026-01-31 10:42:29.677579,2026-01-31 10:43:06.315209,0 days 00:00:36.637630,mean,0.00010875265281044872,0.41345440946035,0.0014332552831491277,"{'val_rmse_mean': 1.0313501358032227, 'val_mae_mean': 0.809158205986023, 'val_r2_mean': -2.1241726875305176, 'val_rmse_target_0': 1.0038998126983643, 'val_mae_target_0': 0.7942493557929993, 'val_r2_target_0': -1.5153043270111084, 'val_rmse_target_1': 0.9001502990722656, 'val_mae_target_1': 0.6376135349273682, 'val_r2_target_1': -1.3219678401947021, 'val_rmse_target_2': 1.0653834342956543, 'val_mae_target_2': 0.8820729851722717, 'val_r2_target_2': -1.7578473091125488, 'val_rmse_target_3': 1.155967116355896, 'val_mae_target_3': 0.922697126865387, 'val_r2_target_3': -3.901571750640869}",COMPLETE
25,0.3807904696850865,2026-01-31 10:43:06.462541,2026-01-31 10:43:43.256742,0 days 00:00:36.794201,mean,0.009555975895848537,0.43217197401376745,0.00013856849301780827,"{'val_rmse_mean': 0.9791517853736877, 'val_mae_mean': 0.7329850792884827, 'val_r2_mean': -17.814956665039062, 'val_rmse_target_0': 0.9445452094078064, 'val_mae_target_0': 0.6195200681686401, 'val_r2_target_0': -9.192906379699707, 'val_rmse_target_1': 0.9530349373817444, 'val_mae_target_1': 0.7042388916015625, 'val_r2_target_1': -18.829010009765625, 'val_rmse_target_2': 1.0154589414596558, 'val_mae_target_2': 0.8751286268234253, 'val_r2_target_2': -17.193735122680664, 'val_rmse_target_3': 1.0035679340362549, 'val_mae_target_3': 0.7330527305603027, 'val_r2_target_3': -26.044178009033203}",COMPLETE
26,0.3752366359587069,2026-01-31 10:43:43.399821,2026-01-31 10:44:20.462272,0 days 00:00:37.062451,mean,0.00021526971512186342,0.2528672960517827,0.0004188615264613013,"{'val_rmse_mean': 0.9481900930404663, 'val_mae_mean': 0.7215292453765869, 'val_r2_mean': -8.737040519714355, 'val_rmse_target_0': 0.9064414501190186, 'val_mae_target_0': 0.6329904198646545, 'val_r2_target_0': -3.084559440612793, 'val_rmse_target_1': 0.8906605839729309, 'val_mae_target_1': 0.6773089170455933, 'val_r2_target_1': -6.073411464691162, 'val_rmse_target_2': 0.9486376643180847, 'val_mae_target_2': 0.8169601559638977, 'val_r2_target_2': -8.08517837524414, 'val_rmse_target_3': 1.0470207929611206, 'val_mae_target_3': 0.7588573694229126, 'val_r2_target_3': -17.70501136779785}",COMPLETE
27,0.39961721872289974,2026-01-31 10:44:20.603376,2026-01-31 10:44:56.663190,0 days 00:00:36.059814,mean,0.0002766618756240378,0.324613483025542,0.0007168072476512579,"{'val_rmse_mean': 0.9759175777435303, 'val_mae_mean': 0.7520754933357239, 'val_r2_mean': -3.921215534210205, 'val_rmse_target_0': 0.9073161482810974, 'val_mae_target_0': 0.6831085681915283, 'val_r2_target_0': -1.743664264678955, 'val_rmse_target_1': 0.883901059627533, 'val_mae_target_1': 0.6277657151222229, 'val_r2_target_1': -2.7876691818237305, 'val_rmse_target_2': 0.9765058159828186, 'val_mae_target_2': 0.8380654454231262, 'val_r2_target_2': -3.7460336685180664, 'val_rmse_target_3': 1.1359471082687378, 'val_mae_target_3': 0.8593623042106628, 'val_r2_target_3': -7.407495498657227}",COMPLETE
28,0.37281033852034146,2026-01-31 10:44:56.805718,2026-01-31 10:45:33.860614,0 days 00:00:37.054896,mean,0.0006827440502189537,0.5603908198444187,0.00024743960393705034,"{'val_rmse_mean': 0.955505907535553, 'val_mae_mean': 0.7156777381896973, 'val_r2_mean': -12.309854507446289, 'val_rmse_target_0': 0.8912519216537476, 'val_mae_target_0': 0.6124169230461121, 'val_r2_target_0': -9.399630546569824, 'val_rmse_target_1': 0.9504368901252747, 'val_mae_target_1': 0.6617655158042908, 'val_r2_target_1': -11.245659828186035, 'val_rmse_target_2': 0.9986985325813293, 'val_mae_target_2': 0.862464427947998, 'val_r2_target_2': -12.152009963989258, 'val_rmse_target_3': 0.9816362857818604, 'val_mae_target_3': 0.7260642051696777, 'val_r2_target_3': -16.442121505737305}",COMPLETE
29,0.3787929442607694,2026-01-31 10:45:34.001394,2026-01-31 10:46:10.966344,0 days 00:00:36.964950,mean,0.0006009883511363898,0.5693805860202092,0.0002426536937870377,"{'val_rmse_mean': 0.9577820301055908, 'val_mae_mean': 0.7133423686027527, 'val_r2_mean': -9.966988563537598, 'val_rmse_target_0': 0.9273991584777832, 'val_mae_target_0': 0.6412658095359802, 'val_r2_target_0': -6.249175548553467, 'val_rmse_target_1': 0.8686304688453674, 'val_mae_target_1': 0.6509568691253662, 'val_r2_target_1': -6.557563781738281, 'val_rmse_target_2': 1.0028789043426514, 'val_mae_target_2': 0.842579185962677, 'val_r2_target_2': -8.896990776062012, 'val_rmse_target_3': 1.0322197675704956, 'val_mae_target_3': 0.7185676693916321, 'val_r2_target_3': -18.16422462463379}",COMPLETE
30,0.3711145725791101,2026-01-31 10:46:11.108775,2026-01-31 10:46:47.044996,0 days 00:00:35.936221,mean,0.002885778004392471,0.5430203055991549,0.00014997044105743737,"{'val_rmse_mean': 0.9542264938354492, 'val_mae_mean': 0.7217521071434021, 'val_r2_mean': -16.44137191772461, 'val_rmse_target_0': 0.9000615477561951, 'val_mae_target_0': 0.5930770635604858, 'val_r2_target_0': -11.766427993774414, 'val_rmse_target_1': 0.9459837079048157, 'val_mae_target_1': 0.7082406282424927, 'val_r2_target_1': -21.071931838989258, 'val_rmse_target_2': 0.9641180634498596, 'val_mae_target_2': 0.8664714097976685, 'val_r2_target_2': -15.89659309387207, 'val_rmse_target_3': 1.0067428350448608, 'val_mae_target_3': 0.719219446182251, 'val_r2_target_3': -17.030536651611328}",COMPLETE
31,0.3845118989271146,2026-01-31 10:46:47.186066,2026-01-31 10:47:23.927897,0 days 00:00:36.741831,mean,0.0025662406729377563,0.5271069175034304,0.0001514834100386726,"{'val_rmse_mean': 0.9796731472015381, 'val_mae_mean': 0.7477933168411255, 'val_r2_mean': -11.775773048400879, 'val_rmse_target_0': 0.9841104745864868, 'val_mae_target_0': 0.6715655326843262, 'val_r2_target_0': -12.911063194274902, 'val_rmse_target_1': 0.9188104867935181, 'val_mae_target_1': 0.7030690312385559, 'val_r2_target_1': -14.283748626708984, 'val_rmse_target_2': 0.9907851815223694, 'val_mae_target_2': 0.8855094313621521, 'val_r2_target_2': -7.527260780334473, 'val_rmse_target_3': 1.0249863862991333, 'val_mae_target_3': 0.7310292720794678, 'val_r2_target_3': -12.38101863861084}",COMPLETE
32,0.3743283020125495,2026-01-31 10:47:24.070485,2026-01-31 10:48:02.001826,0 days 00:00:37.931341,mean,0.0011043212273892347,0.645988272415299,0.0002473570962986718,"{'val_rmse_mean': 0.9541193246841431, 'val_mae_mean': 0.726332426071167, 'val_r2_mean': -12.734248161315918, 'val_rmse_target_0': 0.9104052186012268, 'val_mae_target_0': 0.653235673904419, 'val_r2_target_0': -4.898763179779053, 'val_rmse_target_1': 0.9122612476348877, 'val_mae_target_1': 0.6909679770469666, 'val_r2_target_1': -12.078104972839355, 'val_rmse_target_2': 0.9640862941741943, 'val_mae_target_2': 0.8438422679901123, 'val_r2_target_2': -11.187847137451172, 'val_rmse_target_3': 1.0297245979309082, 'val_mae_target_3': 0.7172836065292358, 'val_r2_target_3': -22.77227783203125}",COMPLETE
