number,value,datetime_start,datetime_complete,duration,params_aggregation,params_depth,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
20,0.36639716959110014,2026-01-31 13:12:53.530254,2026-01-31 13:13:34.469955,0 days 00:00:40.939701,mean,1,0.3779290909679418,64,0.00013536551658488056,0.0003494371026829297,"{'val_rmse_mean': 0.9665743112564087, 'val_mae_mean': 0.704919159412384, 'val_r2_mean': -55.09105682373047, 'val_rmse_target_0': 0.9204475283622742, 'val_mae_target_0': 0.603891134262085, 'val_r2_target_0': -23.991107940673828, 'val_rmse_target_1': 0.9735358953475952, 'val_mae_target_1': 0.6564808487892151, 'val_r2_target_1': -58.905147552490234, 'val_rmse_target_2': 0.9768845438957214, 'val_mae_target_2': 0.8572351932525635, 'val_r2_target_2': -31.123172760009766, 'val_rmse_target_3': 0.9954291582107544, 'val_mae_target_3': 0.7020694613456726, 'val_r2_target_3': -106.34481048583984}",COMPLETE
21,0.3831077888607979,2026-01-31 13:13:34.618784,2026-01-31 13:14:14.115075,0 days 00:00:39.496291,mean,1,0.37204564604631407,64,0.0001425003438796442,0.00037180458253101447,"{'val_rmse_mean': 0.9976934194564819, 'val_mae_mean': 0.7247084379196167, 'val_r2_mean': -56.86589050292969, 'val_rmse_target_0': 0.9706831574440002, 'val_mae_target_0': 0.6356683373451233, 'val_r2_target_0': -35.46767044067383, 'val_rmse_target_1': 1.0184274911880493, 'val_mae_target_1': 0.7226316928863525, 'val_r2_target_1': -32.16637420654297, 'val_rmse_target_2': 0.9775602221488953, 'val_mae_target_2': 0.8370158076286316, 'val_r2_target_2': -35.59659194946289, 'val_rmse_target_3': 1.0241026878356934, 'val_mae_target_3': 0.7035179138183594, 'val_r2_target_3': -124.23292541503906}",COMPLETE
22,0.38276627101004124,2026-01-31 13:14:14.264264,2026-01-31 13:14:54.226494,0 days 00:00:39.962230,mean,1,0.4458888647864959,64,0.0002470618572745785,0.0014928376326924268,"{'val_rmse_mean': 0.9833639860153198, 'val_mae_mean': 0.7237694263458252, 'val_r2_mean': -19.612876892089844, 'val_rmse_target_0': 0.9742973446846008, 'val_mae_target_0': 0.6497159600257874, 'val_r2_target_0': -11.055010795593262, 'val_rmse_target_1': 0.9461033344268799, 'val_mae_target_1': 0.6842504143714905, 'val_r2_target_1': -15.165338516235352, 'val_rmse_target_2': 0.9612804651260376, 'val_mae_target_2': 0.8311045169830322, 'val_r2_target_2': -16.84715461730957, 'val_rmse_target_3': 1.0517748594284058, 'val_mae_target_3': 0.7300066947937012, 'val_r2_target_3': -35.38399124145508}",COMPLETE
23,0.3893177469295484,2026-01-31 13:14:54.375919,2026-01-31 13:15:31.844440,0 days 00:00:37.468521,mean,2,0.380427588069238,64,0.00010763782593626727,0.00017595468783871828,"{'val_rmse_mean': 1.007622241973877, 'val_mae_mean': 0.7276487350463867, 'val_r2_mean': -155.61878967285156, 'val_rmse_target_0': 0.983248770236969, 'val_mae_target_0': 0.6286659836769104, 'val_r2_target_0': -132.65211486816406, 'val_rmse_target_1': 1.0027894973754883, 'val_mae_target_1': 0.6819422841072083, 'val_r2_target_1': -196.36679077148438, 'val_rmse_target_2': 1.0135045051574707, 'val_mae_target_2': 0.880120038986206, 'val_r2_target_2': -97.5351333618164, 'val_rmse_target_3': 1.0309462547302246, 'val_mae_target_3': 0.7198668718338013, 'val_r2_target_3': -195.92115783691406}",COMPLETE
24,0.3783163934670113,2026-01-31 13:15:31.993888,2026-01-31 13:16:13.161223,0 days 00:00:41.167335,mean,1,0.2956635744133628,64,0.00014893248480287583,2.763233236670102e-05,"{'val_rmse_mean': 0.9831801652908325, 'val_mae_mean': 0.7146131992340088, 'val_r2_mean': -36.048133850097656, 'val_rmse_target_0': 0.9481117725372314, 'val_mae_target_0': 0.6182730197906494, 'val_r2_target_0': -19.0070858001709, 'val_rmse_target_1': 0.9660769701004028, 'val_mae_target_1': 0.6668030619621277, 'val_r2_target_1': -29.6661319732666, 'val_rmse_target_2': 0.9964807033538818, 'val_mae_target_2': 0.889877438545227, 'val_r2_target_2': -30.05992317199707, 'val_rmse_target_3': 1.022051453590393, 'val_mae_target_3': 0.6834994554519653, 'val_r2_target_3': -65.45939636230469}",COMPLETE
25,0.3792116091483169,2026-01-31 13:16:13.310402,2026-01-31 13:16:55.089505,0 days 00:00:41.779103,mean,1,0.23455801809030027,32,0.0004497475213594929,0.0006019929176730253,"{'val_rmse_mean': 0.9623688459396362, 'val_mae_mean': 0.7266380786895752, 'val_r2_mean': -7.181201457977295, 'val_rmse_target_0': 0.9152284264564514, 'val_mae_target_0': 0.6133781671524048, 'val_r2_target_0': -4.452320575714111, 'val_rmse_target_1': 0.9934123754501343, 'val_mae_target_1': 0.7117698788642883, 'val_r2_target_1': -5.681179523468018, 'val_rmse_target_2': 0.9531576037406921, 'val_mae_target_2': 0.8358992338180542, 'val_r2_target_2': -7.290566444396973, 'val_rmse_target_3': 0.9876769185066223, 'val_mae_target_3': 0.7455047965049744, 'val_r2_target_3': -11.300739288330078}",COMPLETE
26,0.3942539853354295,2026-01-31 13:16:55.238625,2026-01-31 13:17:37.669857,0 days 00:00:42.431232,attention,1,0.4355410169101652,64,0.00023802505929278758,0.0001231956626273212,"{'val_rmse_mean': 0.9997395277023315, 'val_mae_mean': 0.7251588106155396, 'val_r2_mean': -13.432940483093262, 'val_rmse_target_0': 0.9103749990463257, 'val_mae_target_0': 0.5908378958702087, 'val_r2_target_0': -5.757421493530273, 'val_rmse_target_1': 1.0321581363677979, 'val_mae_target_1': 0.7049056887626648, 'val_r2_target_1': -15.96551513671875, 'val_rmse_target_2': 0.9884101748466492, 'val_mae_target_2': 0.8453234434127808, 'val_r2_target_2': -7.81691837310791, 'val_rmse_target_3': 1.0680149793624878, 'val_mae_target_3': 0.7595680952072144, 'val_r2_target_3': -24.19190788269043}",COMPLETE
27,0.38439225957349493,2026-01-31 13:17:37.819462,2026-01-31 13:18:18.701398,0 days 00:00:40.881936,mean,2,0.3568210956307336,64,0.0001999119225655858,0.0004153747998784879,"{'val_rmse_mean': 0.9964531660079956, 'val_mae_mean': 0.714465856552124, 'val_r2_mean': -36.516326904296875, 'val_rmse_target_0': 0.9375982284545898, 'val_mae_target_0': 0.5776911377906799, 'val_r2_target_0': -16.80320930480957, 'val_rmse_target_1': 0.9830673336982727, 'val_mae_target_1': 0.6710103154182434, 'val_r2_target_1': -34.97026824951172, 'val_rmse_target_2': 1.017399787902832, 'val_mae_target_2': 0.8878699541091919, 'val_r2_target_2': -27.037240982055664, 'val_rmse_target_3': 1.047747254371643, 'val_mae_target_3': 0.7212921380996704, 'val_r2_target_3': -67.25460815429688}",COMPLETE
28,0.3944609076888473,2026-01-31 13:18:18.850318,2026-01-31 13:19:01.740423,0 days 00:00:42.890105,attention,1,0.22027257062976102,128,0.00013388695003061947,0.002300119490867227,"{'val_rmse_mean': 0.9991464614868164, 'val_mae_mean': 0.7341634631156921, 'val_r2_mean': -20.894624710083008, 'val_rmse_target_0': 0.921068012714386, 'val_mae_target_0': 0.6000269651412964, 'val_r2_target_0': -10.279975891113281, 'val_rmse_target_1': 0.9763084650039673, 'val_mae_target_1': 0.6586906909942627, 'val_r2_target_1': -21.401065826416016, 'val_rmse_target_2': 1.0266603231430054, 'val_mae_target_2': 0.9119130373001099, 'val_r2_target_2': -16.780616760253906, 'val_rmse_target_3': 1.0725489854812622, 'val_mae_target_3': 0.7660232186317444, 'val_r2_target_3': -35.116844177246094}",COMPLETE
29,0.38398689266156266,2026-01-31 13:19:01.889201,2026-01-31 13:19:42.591488,0 days 00:00:40.702287,mean,2,0.13938670733520295,32,0.0006492298546896223,0.0048356010603441526,"{'val_rmse_mean': 0.9720835089683533, 'val_mae_mean': 0.7338085770606995, 'val_r2_mean': -4.388341426849365, 'val_rmse_target_0': 0.9968719482421875, 'val_mae_target_0': 0.7289292216300964, 'val_r2_target_0': -2.96427321434021, 'val_rmse_target_1': 0.9612535834312439, 'val_mae_target_1': 0.6724388003349304, 'val_r2_target_1': -3.663876533508301, 'val_rmse_target_2': 0.9320047497749329, 'val_mae_target_2': 0.802589476108551, 'val_r2_target_2': -2.0937392711639404, 'val_rmse_target_3': 0.998203694820404, 'val_mae_target_3': 0.7312767505645752, 'val_r2_target_3': -8.831475257873535}",COMPLETE
