number,value,datetime_start,datetime_complete,duration,params_aggregation,params_lr,params_weight_decay,user_attrs_val_metrics,state
20,0.39328403881302587,2026-01-31 11:29:06.230484,2026-01-31 11:29:44.121374,0 days 00:00:37.890890,mean,0.0003687104381223436,0.0009761466867351744,"{'val_rmse_mean': 0.9859721660614014, 'val_mae_mean': 0.7318481802940369, 'val_r2_mean': -8.604848861694336, 'val_rmse_target_0': 0.9293493032455444, 'val_mae_target_0': 0.6411904096603394, 'val_r2_target_0': -5.619810104370117, 'val_rmse_target_1': 0.9649370908737183, 'val_mae_target_1': 0.6903884410858154, 'val_r2_target_1': -6.283135414123535, 'val_rmse_target_2': 0.9862741231918335, 'val_mae_target_2': 0.8486441373825073, 'val_r2_target_2': -7.3268632888793945, 'val_rmse_target_3': 1.0633283853530884, 'val_mae_target_3': 0.7471697926521301, 'val_r2_target_3': -15.189590454101562}",COMPLETE
21,0.38138964496276995,2026-01-31 11:29:44.265194,2026-01-31 11:30:22.126492,0 days 00:00:37.861298,mean,0.0001835265366306987,0.00042110554590486717,"{'val_rmse_mean': 0.9713159799575806, 'val_mae_mean': 0.7241140604019165, 'val_r2_mean': -20.725677490234375, 'val_rmse_target_0': 0.8690577149391174, 'val_mae_target_0': 0.5569850206375122, 'val_r2_target_0': -7.69666862487793, 'val_rmse_target_1': 0.9322272539138794, 'val_mae_target_1': 0.6925792098045349, 'val_r2_target_1': -19.171123504638672, 'val_rmse_target_2': 1.0359939336776733, 'val_mae_target_2': 0.9039263129234314, 'val_r2_target_2': -31.697772979736328, 'val_rmse_target_3': 1.0479849576950073, 'val_mae_target_3': 0.7429656982421875, 'val_r2_target_3': -24.33715057373047}",COMPLETE
22,0.3692968475321929,2026-01-31 11:30:22.272133,2026-01-31 11:31:00.772490,0 days 00:00:38.500357,mean,0.00016724038926698513,0.00012605923372491137,"{'val_rmse_mean': 0.9602130055427551, 'val_mae_mean': 0.7073512077331543, 'val_r2_mean': -15.621309280395508, 'val_rmse_target_0': 0.9420604705810547, 'val_mae_target_0': 0.6260260343551636, 'val_r2_target_0': -14.676057815551758, 'val_rmse_target_1': 0.9059984683990479, 'val_mae_target_1': 0.6841212511062622, 'val_r2_target_1': -7.963021278381348, 'val_rmse_target_2': 0.9713039994239807, 'val_mae_target_2': 0.8264048099517822, 'val_r2_target_2': -16.614416122436523, 'val_rmse_target_3': 1.021489143371582, 'val_mae_target_3': 0.692852795124054, 'val_r2_target_3': -23.23174285888672}",COMPLETE
23,0.3929023677828135,2026-01-31 11:31:00.917524,2026-01-31 11:31:38.227036,0 days 00:00:37.309512,mean,0.0001529656227572895,0.00012567356181583645,"{'val_rmse_mean': 0.9822136163711548, 'val_mae_mean': 0.7462458610534668, 'val_r2_mean': -14.973262786865234, 'val_rmse_target_0': 0.9466641545295715, 'val_mae_target_0': 0.6301827430725098, 'val_r2_target_0': -15.34320068359375, 'val_rmse_target_1': 0.9238435626029968, 'val_mae_target_1': 0.7093443274497986, 'val_r2_target_1': -16.282596588134766, 'val_rmse_target_2': 1.034044861793518, 'val_mae_target_2': 0.9082254767417908, 'val_r2_target_2': -13.750362396240234, 'val_rmse_target_3': 1.0243020057678223, 'val_mae_target_3': 0.7372307777404785, 'val_r2_target_3': -14.516886711120605}",COMPLETE
24,0.405552053893054,2026-01-31 11:31:38.370868,2026-01-31 11:32:13.686607,0 days 00:00:35.315739,mean,0.00028875484104623814,3.271468492094386e-05,"{'val_rmse_mean': 1.0092625617980957, 'val_mae_mean': 0.7459076642990112, 'val_r2_mean': -14.653984069824219, 'val_rmse_target_0': 1.0054000616073608, 'val_mae_target_0': 0.6773476600646973, 'val_r2_target_0': -8.398974418640137, 'val_rmse_target_1': 1.0030710697174072, 'val_mae_target_1': 0.7547809481620789, 'val_r2_target_1': -9.2156982421875, 'val_rmse_target_2': 1.0260204076766968, 'val_mae_target_2': 0.8633716106414795, 'val_r2_target_2': -11.539043426513672, 'val_rmse_target_3': 1.0025588274002075, 'val_mae_target_3': 0.688130259513855, 'val_r2_target_3': -29.462217330932617}",COMPLETE
25,0.3931615211897426,2026-01-31 11:32:13.829756,2026-01-31 11:32:52.288172,0 days 00:00:38.458416,mean,0.00037914710766167177,0.0009143661603214255,"{'val_rmse_mean': 0.9759500622749329, 'val_mae_mean': 0.7546074390411377, 'val_r2_mean': -9.240360260009766, 'val_rmse_target_0': 0.9343051314353943, 'val_mae_target_0': 0.6884204149246216, 'val_r2_target_0': -3.6404271125793457, 'val_rmse_target_1': 0.9184494018554688, 'val_mae_target_1': 0.6941967606544495, 'val_r2_target_1': -7.947918891906738, 'val_rmse_target_2': 1.0087718963623047, 'val_mae_target_2': 0.8914366364479065, 'val_r2_target_2': -8.812145233154297, 'val_rmse_target_3': 1.042273759841919, 'val_mae_target_3': 0.744376003742218, 'val_r2_target_3': -16.560949325561523}",COMPLETE
26,0.39812410760808875,2026-01-31 11:32:52.432563,2026-01-31 11:33:30.694296,0 days 00:00:38.261733,mean,0.00013855137781132448,0.0001270569640624928,"{'val_rmse_mean': 1.0054190158843994, 'val_mae_mean': 0.7377540469169617, 'val_r2_mean': -14.188167572021484, 'val_rmse_target_0': 0.9752456545829773, 'val_mae_target_0': 0.6663681268692017, 'val_r2_target_0': -10.060830116271973, 'val_rmse_target_1': 0.9560208916664124, 'val_mae_target_1': 0.6643990874290466, 'val_r2_target_1': -21.989200592041016, 'val_rmse_target_2': 0.9874056577682495, 'val_mae_target_2': 0.8619033098220825, 'val_r2_target_2': -12.153603553771973, 'val_rmse_target_3': 1.103003978729248, 'val_mae_target_3': 0.7583458423614502, 'val_r2_target_3': -12.549034118652344}",COMPLETE
27,0.4292311007501902,2026-01-31 11:33:30.839237,2026-01-31 11:34:09.926338,0 days 00:00:39.087101,mean,0.0010230884767625423,1.572987106249907e-05,"{'val_rmse_mean': 1.0170692205429077, 'val_mae_mean': 0.7974793910980225, 'val_r2_mean': -2.869272232055664, 'val_rmse_target_0': 0.9897303581237793, 'val_mae_target_0': 0.7503125667572021, 'val_r2_target_0': -1.6650214195251465, 'val_rmse_target_1': 0.9331374764442444, 'val_mae_target_1': 0.6791057586669922, 'val_r2_target_1': -2.382753372192383, 'val_rmse_target_2': 1.009546160697937, 'val_mae_target_2': 0.8622950315475464, 'val_r2_target_2': -2.0359511375427246, 'val_rmse_target_3': 1.1358627080917358, 'val_mae_target_3': 0.8982044458389282, 'val_r2_target_3': -5.393363952636719}",COMPLETE
28,0.39560913915435475,2026-01-31 11:34:10.071351,2026-01-31 11:34:48.972011,0 days 00:00:38.900660,mean,0.00030249112473419926,0.0002020732829147312,"{'val_rmse_mean': 0.9816343784332275, 'val_mae_mean': 0.7601696252822876, 'val_r2_mean': -9.65198802947998, 'val_rmse_target_0': 0.9941556453704834, 'val_mae_target_0': 0.6926637291908264, 'val_r2_target_0': -7.553888320922852, 'val_rmse_target_1': 0.8422331809997559, 'val_mae_target_1': 0.6271533966064453, 'val_r2_target_1': -5.0237908363342285, 'val_rmse_target_2': 1.0409878492355347, 'val_mae_target_2': 0.9308100342750549, 'val_r2_target_2': -13.849021911621094, 'val_rmse_target_3': 1.0491610765457153, 'val_mae_target_3': 0.7900515198707581, 'val_r2_target_3': -12.181252479553223}",COMPLETE
29,0.4094485926821276,2026-01-31 11:34:49.114835,2026-01-31 11:35:29.651453,0 days 00:00:40.536618,attention,0.00045173308108742335,5.126233589139144e-05,"{'val_rmse_mean': 0.9920926094055176, 'val_mae_mean': 0.7647307515144348, 'val_r2_mean': -5.016939640045166, 'val_rmse_target_0': 0.9441726207733154, 'val_mae_target_0': 0.6647887229919434, 'val_r2_target_0': -2.596856117248535, 'val_rmse_target_1': 0.912896454334259, 'val_mae_target_1': 0.6791594624519348, 'val_r2_target_1': -3.0135703086853027, 'val_rmse_target_2': 1.0681099891662598, 'val_mae_target_2': 0.9309472441673279, 'val_r2_target_2': -6.204792022705078, 'val_rmse_target_3': 1.0431914329528809, 'val_mae_target_3': 0.784027636051178, 'val_r2_target_3': -8.252541542053223}",COMPLETE
