number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_num_conv_layers,params_path_attention_type,params_path_dim,params_regressor_dim,params_ts_out_channels,params_weight_decay,user_attrs_val_metrics,state
10,0.4759773226170283,2026-02-04 01:06:20.079945,2026-02-04 01:07:01.796695,0 days 00:00:41.716750,16,0.37964535416710155,0.0001757731134821699,2,mean,4,64,16,0.008595717211488102,"{'val_rmse_mean': 1.0492193698883057, 'val_mae_mean': 0.8868173956871033, 'val_r2_mean': -70.57523345947266, 'val_rmse_target_0': 1.0492193698883057, 'val_mae_target_0': 0.8868173956871033, 'val_r2_target_0': -70.57523345947266}",COMPLETE
11,0.4355895823219153,2026-02-04 01:07:01.994858,2026-02-04 01:07:42.389029,0 days 00:00:40.394171,16,0.39312819124383064,0.00015278054796449914,2,mean,4,32,16,0.009612331181030867,"{'val_rmse_mean': 1.0007139444351196, 'val_mae_mean': 0.8261651396751404, 'val_r2_mean': -53.08414077758789, 'val_rmse_target_0': 1.0007139444351196, 'val_mae_target_0': 0.8261651396751404, 'val_r2_target_0': -53.08414077758789}",COMPLETE
12,0.4980257775772501,2026-02-04 01:07:42.587846,2026-02-04 01:08:27.614604,0 days 00:00:45.026758,16,0.38340103804074827,0.00018918344578716027,2,mean,4,128,16,0.006764067936903679,"{'val_rmse_mean': 1.0762938261032104, 'val_mae_mean': 0.9085257053375244, 'val_r2_mean': -81.75517272949219, 'val_rmse_target_0': 1.0762938261032104, 'val_mae_target_0': 0.9085257053375244, 'val_r2_target_0': -81.75517272949219}",COMPLETE
13,0.46752339502994866,2026-02-04 01:08:27.813343,2026-02-04 01:09:10.797428,0 days 00:00:42.984085,16,0.2574341151044327,0.00013001988549527876,2,mean,4,32,16,0.006316490257210628,"{'val_rmse_mean': 1.0479298830032349, 'val_mae_mean': 0.8613775968551636, 'val_r2_mean': -51.91240692138672, 'val_rmse_target_0': 1.0479298830032349, 'val_mae_target_0': 0.8613775968551636, 'val_r2_target_0': -51.91240692138672}",COMPLETE
14,0.48139974891927084,2026-02-04 01:09:10.996058,2026-02-04 01:09:52.602875,0 days 00:00:41.606817,16,0.39204634915048364,0.00022813440104004,2,mean,4,64,16,0.006887317242470499,"{'val_rmse_mean': 1.058669924736023, 'val_mae_mean': 0.8822629451751709, 'val_r2_mean': -71.6052474975586, 'val_rmse_target_0': 1.058669924736023, 'val_mae_target_0': 0.8822629451751709, 'val_r2_target_0': -71.6052474975586}",COMPLETE
15,0.47004305630222615,2026-02-04 01:09:52.800818,2026-02-04 01:10:34.660265,0 days 00:00:41.859447,16,0.32380365989392856,0.0002798985903374678,2,mean,4,32,16,0.009998733282240652,"{'val_rmse_mean': 1.041293740272522, 'val_mae_mean': 0.8716809153556824, 'val_r2_mean': -73.9085693359375, 'val_rmse_target_0': 1.041293740272522, 'val_mae_target_0': 0.8716809153556824, 'val_r2_target_0': -73.9085693359375}",COMPLETE
16,0.46466749296868565,2026-02-04 01:10:34.861074,2026-02-04 01:11:17.510028,0 days 00:00:42.648954,16,0.4066774329853552,0.00012946961043175525,2,mean,4,64,16,0.00529901086868381,"{'val_rmse_mean': 1.0444732904434204, 'val_mae_mean': 0.863519012928009, 'val_r2_mean': -82.35458374023438, 'val_rmse_target_0': 1.0444732904434204, 'val_mae_target_0': 0.863519012928009, 'val_r2_target_0': -82.35458374023438}",COMPLETE
17,0.45533916885378184,2026-02-04 01:11:17.707578,2026-02-04 01:11:59.006315,0 days 00:00:41.298737,16,0.3532510244900444,5.055458166392445e-05,2,mean,4,128,16,0.007690927842547666,"{'val_rmse_mean': 1.0315881967544556, 'val_mae_mean': 0.8493160009384155, 'val_r2_mean': -44.418251037597656, 'val_rmse_target_0': 1.0315881967544556, 'val_mae_target_0': 0.8493160009384155, 'val_r2_target_0': -44.418251037597656}",COMPLETE
18,0.4820948507459872,2026-02-04 01:11:59.204694,2026-02-04 01:12:38.915427,0 days 00:00:39.710733,16,0.4989811960949731,9.346517021568909e-05,2,mean,4,64,16,0.005689174815767411,"{'val_rmse_mean': 1.0589895248413086, 'val_mae_mean': 0.8761008977890015, 'val_r2_mean': -58.70906448364258, 'val_rmse_target_0': 1.0589895248413086, 'val_mae_target_0': 0.8761008977890015, 'val_r2_target_0': -58.70906448364258}",COMPLETE
19,0.4797809448080241,2026-02-04 01:12:39.113320,2026-02-04 01:13:20.794600,0 days 00:00:41.681280,16,0.2888002052359877,0.00014158951368367957,2,mean,8,32,16,0.002229305487663995,"{'val_rmse_mean': 1.0601333379745483, 'val_mae_mean': 0.87406986951828, 'val_r2_mean': -80.3629379272461, 'val_rmse_target_0': 1.0601333379745483, 'val_mae_target_0': 0.87406986951828, 'val_r2_target_0': -80.3629379272461}",COMPLETE
20,0.4588640123234924,2026-02-04 01:13:20.991565,2026-02-04 01:14:00.927658,0 days 00:00:39.936093,16,0.4654050044217151,0.00023187891097736478,2,mean,4,64,16,0.004622817193634631,"{'val_rmse_mean': 1.0351618528366089, 'val_mae_mean': 0.8691052198410034, 'val_r2_mean': -58.40394973754883, 'val_rmse_target_0': 1.0351618528366089, 'val_mae_target_0': 0.8691052198410034, 'val_r2_target_0': -58.40394973754883}",COMPLETE
