number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_lstm,params_dropout_path,params_dropout_reg,params_lr,params_lstm_hidden_dim,params_lstm_layers,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
20,0.35853756467501324,2026-01-30 20:09:14.446796,2026-01-30 20:09:49.024189,0 days 00:00:34.577393,16,False,0.25597458175413484,0.29501806240338996,0.20994109201785366,0.00020296449395726529,32,2,static,8,512,2.57615035909519e-05,"{'val_rmse_mean': 0.954631507396698, 'val_mae_mean': 0.6991620659828186, 'val_r2_mean': -13.171121597290039, 'val_rmse_target_0': 1.027405858039856, 'val_mae_target_0': 0.6623860001564026, 'val_r2_target_0': -21.33526611328125, 'val_rmse_target_1': 0.9709046483039856, 'val_mae_target_1': 0.7094637751579285, 'val_r2_target_1': -5.045320987701416, 'val_rmse_target_2': 0.7397218942642212, 'val_mae_target_2': 0.6364645957946777, 'val_r2_target_2': -0.3649768829345703, 'val_rmse_target_3': 1.080493688583374, 'val_mae_target_3': 0.7883338928222656, 'val_r2_target_3': -25.938915252685547}",COMPLETE
21,0.34859079743425053,2026-01-30 20:09:49.121151,2026-01-30 20:10:23.580912,0 days 00:00:34.459761,16,False,0.2972661116706801,0.25001850241249096,0.347878416082301,0.00013683296991450966,32,2,static,16,512,0.00018913896967440874,"{'val_rmse_mean': 0.9470765590667725, 'val_mae_mean': 0.6880272030830383, 'val_r2_mean': -24.853357315063477, 'val_rmse_target_0': 1.013924241065979, 'val_mae_target_0': 0.6477848887443542, 'val_r2_target_0': -47.27714538574219, 'val_rmse_target_1': 0.9712799191474915, 'val_mae_target_1': 0.6775058507919312, 'val_r2_target_1': -11.40481185913086, 'val_rmse_target_2': 0.7629741430282593, 'val_mae_target_2': 0.6791499853134155, 'val_r2_target_2': -1.8995983600616455, 'val_rmse_target_3': 1.0401276350021362, 'val_mae_target_3': 0.7476680278778076, 'val_r2_target_3': -38.83186340332031}",COMPLETE
22,0.352136498524083,2026-01-30 20:10:23.676920,2026-01-30 20:10:58.780413,0 days 00:00:35.103493,16,False,0.29917673377339965,0.24908250272777152,0.3393798630732853,0.00013568339424248024,32,2,static,8,512,0.0001910116467464508,"{'val_rmse_mean': 0.9507603645324707, 'val_mae_mean': 0.6936559677124023, 'val_r2_mean': -22.436431884765625, 'val_rmse_target_0': 1.0252909660339355, 'val_mae_target_0': 0.6624646186828613, 'val_r2_target_0': -32.832763671875, 'val_rmse_target_1': 0.955086886882782, 'val_mae_target_1': 0.6660256385803223, 'val_r2_target_1': -13.111461639404297, 'val_rmse_target_2': 0.7602695226669312, 'val_mae_target_2': 0.6709031462669373, 'val_r2_target_2': -1.421079397201538, 'val_rmse_target_3': 1.062394142150879, 'val_mae_target_3': 0.7752304077148438, 'val_r2_target_3': -42.38042449951172}",COMPLETE
23,0.3558654215324808,2026-01-30 20:10:58.878433,2026-01-30 20:11:33.396849,0 days 00:00:34.518416,16,False,0.27941838873891794,0.2845168302268899,0.31431004099912346,0.00011860441418731275,32,2,static,16,512,7.279110887691894e-05,"{'val_rmse_mean': 0.9615983963012695, 'val_mae_mean': 0.6942079067230225, 'val_r2_mean': -34.999725341796875, 'val_rmse_target_0': 1.027909517288208, 'val_mae_target_0': 0.6463184356689453, 'val_r2_target_0': -67.7529296875, 'val_rmse_target_1': 0.9813889861106873, 'val_mae_target_1': 0.6779248118400574, 'val_r2_target_1': -17.299835205078125, 'val_rmse_target_2': 0.7851583957672119, 'val_mae_target_2': 0.6890777945518494, 'val_r2_target_2': -2.829508066177368, 'val_rmse_target_3': 1.0519365072250366, 'val_mae_target_3': 0.7635104656219482, 'val_r2_target_3': -52.11661911010742}",COMPLETE
24,0.3570756309286312,2026-01-30 20:11:33.493592,2026-01-30 20:12:07.293654,0 days 00:00:33.800062,16,False,0.2996907772166882,0.24233925334067669,0.28516619853854497,0.00014554383247287396,32,2,static,8,512,0.00023664622598120456,"{'val_rmse_mean': 0.9560721516609192, 'val_mae_mean': 0.7009822130203247, 'val_r2_mean': -15.829273223876953, 'val_rmse_target_0': 1.0157489776611328, 'val_mae_target_0': 0.6570574641227722, 'val_r2_target_0': -29.25411605834961, 'val_rmse_target_1': 0.9684643149375916, 'val_mae_target_1': 0.6852729320526123, 'val_r2_target_1': -8.152180671691895, 'val_rmse_target_2': 0.7801775336265564, 'val_mae_target_2': 0.6847600340843201, 'val_r2_target_2': -1.192626953125, 'val_rmse_target_3': 1.0598976612091064, 'val_mae_target_3': 0.7768381834030151, 'val_r2_target_3': -24.718168258666992}",COMPLETE
25,0.35344821904544477,2026-01-30 20:12:07.390137,2026-01-30 20:12:42.989732,0 days 00:00:35.599595,16,False,0.281114308038241,0.21448252013378766,0.3994082587481984,0.00021170466202438847,32,2,static,8,512,7.867432996705621e-05,"{'val_rmse_mean': 0.944718599319458, 'val_mae_mean': 0.6947729587554932, 'val_r2_mean': -14.990255355834961, 'val_rmse_target_0': 1.0064259767532349, 'val_mae_target_0': 0.66804438829422, 'val_r2_target_0': -24.274412155151367, 'val_rmse_target_1': 0.9724717736244202, 'val_mae_target_1': 0.700028121471405, 'val_r2_target_1': -5.541709899902344, 'val_rmse_target_2': 0.7401328682899475, 'val_mae_target_2': 0.6442669630050659, 'val_r2_target_2': -0.2940647602081299, 'val_rmse_target_3': 1.0598437786102295, 'val_mae_target_3': 0.7667523622512817, 'val_r2_target_3': -29.850830078125}",COMPLETE
26,0.35912354111119554,2026-01-30 20:12:43.087198,2026-01-30 20:13:18.004012,0 days 00:00:34.916814,16,False,0.25302172357050856,0.30761379892670865,0.24622717675672134,8.404254291043179e-05,32,2,static,16,512,0.0005998688667670201,"{'val_rmse_mean': 0.9672092199325562, 'val_mae_mean': 0.6960413455963135, 'val_r2_mean': -46.11614227294922, 'val_rmse_target_0': 1.0073264837265015, 'val_mae_target_0': 0.6407500505447388, 'val_r2_target_0': -56.862701416015625, 'val_rmse_target_1': 0.9727489948272705, 'val_mae_target_1': 0.6718477606773376, 'val_r2_target_1': -22.833784103393555, 'val_rmse_target_2': 0.8449364900588989, 'val_mae_target_2': 0.7382892370223999, 'val_r2_target_2': -6.479823112487793, 'val_rmse_target_3': 1.0438247919082642, 'val_mae_target_3': 0.733278214931488, 'val_r2_target_3': -98.28826141357422}",COMPLETE
27,0.35366199703680146,2026-01-30 20:13:18.099790,2026-01-30 20:13:51.992008,0 days 00:00:33.892218,16,False,0.28378402855293755,0.27945086024687954,0.36766375532189743,0.0001129162890860284,32,2,static,8,512,2.6417866416261982e-05,"{'val_rmse_mean': 0.9564796090126038, 'val_mae_mean': 0.6965318918228149, 'val_r2_mean': -27.825355529785156, 'val_rmse_target_0': 1.0337079763412476, 'val_mae_target_0': 0.658371090888977, 'val_r2_target_0': -55.45134735107422, 'val_rmse_target_1': 0.9614572525024414, 'val_mae_target_1': 0.6785582304000854, 'val_r2_target_1': -13.395939826965332, 'val_rmse_target_2': 0.7772102952003479, 'val_mae_target_2': 0.6905128359794617, 'val_r2_target_2': -1.9423167705535889, 'val_rmse_target_3': 1.0535428524017334, 'val_mae_target_3': 0.758685290813446, 'val_r2_target_3': -40.511817932128906}",COMPLETE
28,0.36613021494337805,2026-01-30 20:13:52.089915,2026-01-30 20:14:27.443292,0 days 00:00:35.353377,16,False,0.26558128261794756,0.24686085464357285,0.2338291616193327,5.02854021099953e-05,16,2,static,16,512,4.318314338688522e-05,"{'val_rmse_mean': 0.9812676906585693, 'val_mae_mean': 0.689090371131897, 'val_r2_mean': -73.07151794433594, 'val_rmse_target_0': 0.9953321218490601, 'val_mae_target_0': 0.6157650351524353, 'val_r2_target_0': -122.87313842773438, 'val_rmse_target_1': 0.9909883737564087, 'val_mae_target_1': 0.6601142287254333, 'val_r2_target_1': -52.78056716918945, 'val_rmse_target_2': 0.8991866111755371, 'val_mae_target_2': 0.7615557909011841, 'val_r2_target_2': -18.491933822631836, 'val_rmse_target_3': 1.039563536643982, 'val_mae_target_3': 0.7189263105392456, 'val_r2_target_3': -98.14042663574219}",COMPLETE
29,0.3508243976091897,2026-01-30 20:14:27.538745,2026-01-30 20:15:01.959396,0 days 00:00:34.420651,16,False,0.27347669274235986,0.21863857319157115,0.3120190577231001,0.00018834216946846143,8,2,static,8,512,1.2314670249576004e-05,"{'val_rmse_mean': 0.9435012340545654, 'val_mae_mean': 0.6922245621681213, 'val_r2_mean': -14.932777404785156, 'val_rmse_target_0': 1.0248491764068604, 'val_mae_target_0': 0.6676506400108337, 'val_r2_target_0': -24.347028732299805, 'val_rmse_target_1': 0.9696028828620911, 'val_mae_target_1': 0.7013298273086548, 'val_r2_target_1': -6.495365619659424, 'val_rmse_target_2': 0.7334197759628296, 'val_mae_target_2': 0.6309454441070557, 'val_r2_target_2': -0.44094371795654297, 'val_rmse_target_3': 1.0461331605911255, 'val_mae_target_3': 0.7689724564552307, 'val_r2_target_3': -28.447763442993164}",COMPLETE
30,0.35118337748227296,2026-01-30 20:15:02.055631,2026-01-30 20:15:35.686295,0 days 00:00:33.630664,16,False,0.2085091557717364,0.3479681706053313,0.34055301904250107,0.0001506638990076016,16,2,static,8,256,0.00010862170467435438,"{'val_rmse_mean': 0.9568133354187012, 'val_mae_mean': 0.6817138195037842, 'val_r2_mean': -37.543365478515625, 'val_rmse_target_0': 1.007365107536316, 'val_mae_target_0': 0.6368651986122131, 'val_r2_target_0': -64.26375579833984, 'val_rmse_target_1': 0.9899510741233826, 'val_mae_target_1': 0.6694007515907288, 'val_r2_target_1': -24.964065551757812, 'val_rmse_target_2': 0.7831575870513916, 'val_mae_target_2': 0.676141619682312, 'val_r2_target_2': -3.8279714584350586, 'val_rmse_target_3': 1.0467795133590698, 'val_mae_target_3': 0.744447648525238, 'val_r2_target_3': -57.11766052246094}",COMPLETE
